Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,LLOC_NAIX_REGIO,Poblacio,REF_Poblacio
1998,01,02,10,7,0,35762
1998,01,03,11,1,363,33750
1998,01,03,11,2,601,33750
1998,01,03,11,3,0,33750
1998,01,03,11,4,29,33750
1998,01,03,11,5,294,33750
1998,01,03,11,6,0,33750
1998,01,03,11,7,0,33750
1998,01,03,12,1,6,1754
1998,01,03,12,2,0,1754
1998,01,03,12,3,0,1754
1998,01,03,12,4,0,1754
1998,01,03,12,5,18,1754
1998,01,03,12,6,0,1754
1998,01,03,12,7,0,1754
1998,01,03,13,1,88,27160
1998,01,03,13,2,204,27160
1998,01,03,13,3,0,27160
1998,01,03,13,4,0,27160
1998,01,03,13,5,146,27160
1998,01,03,13,6,0,27160
1998,01,03,13,7,0,27160
1998,01,03,14,1,0,9162
1998,01,03,14,2,154,9162
1998,01,03,14,3,0,9162
1998,01,03,14,4,6,9162
1998,01,03,14,5,66,9162
1998,01,03,14,6,0,9162
1998,01,03,14,7,0,9162
1998,01,03,15,1,69,14618
1998,01,03,15,2,257,14618
1998,01,03,15,3,0,14618
1998,01,03,15,4,31,14618
1998,01,03,15,5,125,14618
1998,01,03,15,6,0,14618
1998,01,03,15,7,0,14618
1998,01,03,16,1,95,17370
1998,01,03,16,2,179,17370
1998,01,03,16,3,0,17370
1998,01,03,16,4,0,17370
1998,01,03,16,5,102,17370
1998,01,03,16,6,0,17370
1998,01,03,16,7,0,17370
1998,01,03,17,1,65,23485
1998,01,03,17,2,252,23485
1998,01,03,17,3,0,23485
1998,01,03,17,4,0,23485
1998,01,03,17,5,106,23485
1998,01,03,17,6,0,23485
1998,01,03,17,7,0,23485
1998,01,03,18,1,86,37957
1998,01,03,18,2,449,37957
1998,01,03,18,3,0,37957
1998,01,03,18,4,15,37957
1998,01,03,18,5,263,37957
1998,01,03,18,6,0,37957
1998,01,03,18,7,0,37957
1998,01,04,19,1,90,45830
1998,01,04,19,2,568,45830
1998,01,04,19,3,5,45830
1998,01,04,19,4,25,45830
1998,01,04,19,5,476,45830
1998,01,04,19,6,0,45830
1998,01,04,19,7,0,45830
1998,01,04,20,1,17,24233
1998,01,04,20,2,279,24233
1998,01,04,20,3,0,24233
1998,01,04,20,4,32,24233
1998,01,04,20,5,216,24233
1998,01,04,20,6,0,24233
1998,01,04,20,7,0,24233
1998,01,04,21,1,41,11010
1998,01,04,21,2,171,11010
1998,01,04,21,3,10,11010
1998,01,04,21,4,102,11010
1998,01,04,21,5,364,11010
1998,01,04,21,6,0,11010
1998,01,04,21,7,0,11010
1998,01,05,22,1,0,3120
1998,01,05,22,2,51,3120
1998,01,05,22,3,0,3120
1998,01,05,22,4,0,3120
1998,01,05,22,5,71,3120
1998,01,05,22,6,0,3120
1998,01,05,22,7,0,3120
1998,01,05,23,1,7,20755
1998,01,05,23,2,305,20755
1998,01,05,23,3,32,20755
1998,01,05,23,4,12,20755
1998,01,05,23,5,455,20755
1998,01,05,23,6,0,20755
1998,01,05,23,7,0,20755
1998,01,05,24,1,0,13242
1998,01,05,24,2,159,13242
1998,01,05,24,3,5,13242
1998,01,05,24,4,17,13242
1998,01,05,24,5,304,13242
1998,01,05,24,6,0,13242
1998,01,05,24,7,0,13242
1998,01,05,25,1,20,21794
1998,01,05,25,2,353,21794
1998,01,05,25,3,6,21794
1998,01,05,25,4,22,21794
1998,01,05,25,5,397,21794
1998,01,05,25,6,0,21794
1998,01,05,25,7,0,21794
1998,01,05,26,1,56,43112
1998,01,05,26,2,717,43112
1998,01,05,26,3,22,43112
1998,01,05,26,4,154,43112
1998,01,05,26,5,827,43112
1998,01,05,26,6,0,43112
1998,01,05,26,7,0,43112
1998,01,05,27,1,35,26516
1998,01,05,27,2,508,26516
1998,01,05,27,3,6,26516
1998,01,05,27,4,15,26516
1998,01,05,27,5,466,26516
1998,01,05,27,6,0,26516
1998,01,05,27,7,0,26516
1998,01,06,28,1,28,14150
1998,01,06,28,2,195,14150
1998,01,06,28,3,0,14150
1998,01,06,28,4,0,14150
1998,01,06,28,5,181,14150
1998,01,06,28,6,0,14150
1998,01,06,28,7,0,14150
1998,01,06,29,1,5,6585
1998,01,06,29,2,63,6585
1998,01,06,29,3,0,6585
1998,01,06,29,4,0,6585
1998,01,06,29,5,76,6585
1998,01,06,29,6,0,6585
1998,01,06,29,7,0,6585
1998,01,06,30,1,5,12784
1998,01,06,30,2,183,12784
1998,01,06,30,3,0,12784
1998,01,06,30,4,10,12784
1998,01,06,30,5,137,12784
1998,01,06,30,6,0,12784
1998,01,06,30,7,0,12784
1998,01,06,31,1,17,46561
1998,01,06,31,2,924,46561
1998,01,06,31,3,0,46561
1998,01,06,31,4,38,46561
1998,01,06,31,5,561,46561
1998,01,06,31,6,0,46561
1998,01,06,31,7,0,46561
1998,01,06,32,1,10,33599
1998,01,06,32,2,426,33599
1998,01,06,32,3,0,33599
1998,01,06,32,4,5,33599
1998,01,06,32,5,300,33599
1998,01,06,32,6,0,33599
1998,01,06,32,7,0,33599
1998,01,07,33,1,10,24786
1998,01,07,33,2,362,24786
1998,01,07,33,3,0,24786
1998,01,07,33,4,17,24786
1998,01,07,33,5,123,24786
1998,01,07,33,6,0,24786
1998,01,07,33,7,0,24786
1998,01,07,34,1,5,8966
1998,01,07,34,2,94,8966
1998,01,07,34,3,5,8966
1998,01,07,34,4,0,8966
1998,01,07,34,5,56,8966
1998,01,07,34,6,0,8966
1998,01,07,34,7,0,8966
1998,01,07,35,1,72,34213
1998,01,07,35,2,386,34213
1998,01,07,35,3,0,34213
1998,01,07,35,4,6,34213
1998,01,07,35,5,267,34213
1998,01,07,35,6,0,34213
1998,01,07,35,7,0,34213
1998,01,07,36,1,5,9757
1998,01,07,36,2,47,9757
1998,01,07,36,3,0,9757
1998,01,07,36,4,0,9757
1998,01,07,36,5,66,9757
1998,01,07,36,6,0,9757
1998,01,07,36,7,0,9757
