Data_Referencia,Codi_Ciutat,Codi_Districte,Codi_Barri,EDAT_10,Poblacio
1998,01,03,12,7,202
1998,01,03,12,8,202
1998,01,03,13,1,2610
1998,01,03,13,2,3071
1998,01,03,13,3,4317
1998,01,03,13,4,4829
1998,01,03,13,5,3484
1998,01,03,13,6,3012
1998,01,03,13,7,3339
1998,01,03,13,8,2149
1998,01,03,14,1,664
1998,01,03,14,2,977
1998,01,03,14,3,1378
1998,01,03,14,4,1381
1998,01,03,14,5,1379
1998,01,03,14,6,1113
1998,01,03,14,7,1088
1998,01,03,14,8,1117
1998,01,03,15,1,1073
1998,01,03,15,2,1531
1998,01,03,15,3,1976
1998,01,03,15,4,2108
1998,01,03,15,5,2190
1998,01,03,15,6,1692
1998,01,03,15,7,1754
1998,01,03,15,8,2266
1998,01,03,16,1,1426
1998,01,03,16,2,2046
1998,01,03,16,3,2480
1998,01,03,16,4,2818
1998,01,03,16,5,2669
1998,01,03,16,6,2015
1998,01,03,16,7,1954
1998,01,03,16,8,1837
1998,01,03,17,1,1773
1998,01,03,17,2,2629
1998,01,03,17,3,3434
1998,01,03,17,4,3516
1998,01,03,17,5,3547
1998,01,03,17,6,2855
1998,01,03,17,7,2834
1998,01,03,17,8,2835
1998,01,03,18,1,2536
1998,01,03,18,2,3465
1998,01,03,18,3,5464
1998,01,03,18,4,5616
1998,01,03,18,5,4934
1998,01,03,18,6,4469
1998,01,03,18,7,5167
1998,01,03,18,8,6112
1998,01,04,19,1,3822
1998,01,04,19,2,5004
1998,01,04,19,3,7116
1998,01,04,19,4,6304
1998,01,04,19,5,7064
1998,01,04,19,6,6169
1998,01,04,19,7,5096
1998,01,04,19,8,5015
1998,01,04,20,1,1840
1998,01,04,20,2,2956
1998,01,04,20,3,3964
1998,01,04,20,4,3177
1998,01,04,20,5,3737
1998,01,04,20,6,3394
1998,01,04,20,7,2737
1998,01,04,20,8,2381
1998,01,04,21,1,871
1998,01,04,21,2,1291
1998,01,04,21,3,2015
1998,01,04,21,4,1291
1998,01,04,21,5,1467
1998,01,04,21,6,1511
1998,01,04,21,7,1397
1998,01,04,21,8,1163
1998,01,05,22,1,381
1998,01,05,22,2,347
1998,01,05,22,3,447
1998,01,05,22,4,560
1998,01,05,22,5,473
1998,01,05,22,6,338
1998,01,05,22,7,275
1998,01,05,22,8,241
1998,01,05,23,1,1943
1998,01,05,23,2,2061
1998,01,05,23,3,3159
1998,01,05,23,4,2934
1998,01,05,23,5,2714
1998,01,05,23,6,2450
1998,01,05,23,7,2451
1998,01,05,23,8,2961
1998,01,05,24,1,1245
1998,01,05,24,2,1406
1998,01,05,24,3,2404
1998,01,05,24,4,1717
1998,01,05,24,5,1721
1998,01,05,24,6,1767
1998,01,05,24,7,1589
1998,01,05,24,8,1271
1998,01,05,25,1,1864
1998,01,05,25,2,2073
1998,01,05,25,3,3409
1998,01,05,25,4,2970
1998,01,05,25,5,2654
1998,01,05,25,6,2690
1998,01,05,25,7,2709
1998,01,05,25,8,3304
1998,01,05,26,1,3514
1998,01,05,26,2,3882
1998,01,05,26,3,6822
1998,01,05,26,4,5982
1998,01,05,26,5,5223
1998,01,05,26,6,5388
1998,01,05,26,7,5635
1998,01,05,26,8,6907
1998,01,05,27,1,2358
1998,01,05,27,2,2609
1998,01,05,27,3,4095
1998,01,05,27,4,3985
1998,01,05,27,5,3770
1998,01,05,27,6,3268
1998,01,05,27,7,2876
1998,01,05,27,8,3566
1998,01,06,28,1,996
1998,01,06,28,2,1353
1998,01,06,28,3,2271
1998,01,06,28,4,1929
1998,01,06,28,5,1922
1998,01,06,28,6,1869
1998,01,06,28,7,1846
1998,01,06,28,8,1899
1998,01,06,29,1,511
1998,01,06,29,2,671
1998,01,06,29,3,1090
1998,01,06,29,4,991
1998,01,06,29,5,896
1998,01,06,29,6,912
1998,01,06,29,7,824
1998,01,06,29,8,669
1998,01,06,30,1,834
1998,01,06,30,2,1436
1998,01,06,30,3,2114
1998,01,06,30,4,1647
1998,01,06,30,5,1917
1998,01,06,30,6,1750
1998,01,06,30,7,1473
1998,01,06,30,8,1462
1998,01,06,31,1,3039
1998,01,06,31,2,3658
1998,01,06,31,3,6036
1998,01,06,31,4,7105
1998,01,06,31,5,5930
1998,01,06,31,6,5019
1998,01,06,31,7,6189
1998,01,06,31,8,9495
1998,01,06,32,1,2525
