Data_Referencia,Seccio_Censal,Poblacio
1998,1003,2174
1998,1004,2114
1998,1005,1961
1998,1006,1571
1998,1007,2155
1998,1008,2056
1998,1009,1508
1998,1010,1558
1998,1011,1954
1998,1012,1445
1998,1013,1096
1998,1014,1295
1998,1015,1582
1998,1016,1542
1998,1017,1810
1998,1018,986
1998,1019,1936
1998,1020,1929
1998,1021,1721
1998,1022,1129
1998,1023,2130
1998,1025,1183
1998,1026,1525
1998,1027,1386
1998,1028,1571
1998,1029,1178
1998,1030,2320
1998,1031,1502
1998,1032,2024
1998,1033,1101
1998,1034,1117
1998,1035,1276
1998,1036,1153
1998,1037,1403
1998,1038,1330
1998,1039,1352
1998,1040,1007
1998,1041,1355
1998,1042,1550
1998,1043,1051
1998,1044,1342
1998,1045,1939
1998,1046,1547
1998,1047,1496
1998,1048,1823
1998,1049,1261
1998,1050,1410
1998,1051,1455
1998,1052,1778
1998,1053,2372
1998,1054,1161
1998,1055,1248
1998,2001,907
1998,2002,1504
1998,2003,759
1998,2004,1359
1998,2005,2086
1998,2006,1516
1998,2007,983
1998,2008,1698
1998,2009,1442
1998,2010,1114
1998,2011,1020
1998,2012,1444
1998,2013,992
1998,2014,1112
1998,2015,1409
1998,2016,1726
1998,2017,1729
1998,2018,1903
1998,2019,1850
1998,2020,1240
1998,2021,1451
1998,2022,1141
1998,2023,1046
1998,2024,1145
1998,2025,1028
1998,2026,1806
1998,2027,1915
1998,2028,1776
1998,2029,1132
1998,2030,1196
1998,2031,1090
1998,2032,1022
1998,2033,1083
1998,2034,1081
1998,2035,1377
1998,2036,1118
1998,2037,1086
1998,2038,1315
1998,2039,1578
1998,2040,1569
1998,2041,1640
1998,2042,1827
1998,2043,1141
1998,2044,1200
1998,2045,1157
1998,2046,1861
1998,2047,1845
1998,2048,1119
1998,2049,2122
1998,2050,1536
1998,2051,1868
1998,2052,1628
1998,2053,1592
1998,2054,1752
1998,2055,1789
1998,2056,1342
1998,2057,1137
1998,2058,1409
1998,2059,1617
1998,2060,1615
1998,2061,1189
1998,2062,1447
1998,2063,1149
1998,2064,1275
1998,2065,1690
1998,2066,1891
1998,2067,1466
1998,2068,1567
1998,2069,1291
1998,2070,1202
1998,2071,1371
1998,2072,783
1998,2073,1361
1998,2074,936
1998,2075,894
1998,2076,1252
1998,2077,1122
1998,2078,1060
1998,2079,1104
1998,2080,1366
1998,2081,2033
1998,2082,1008
1998,2083,1555
1998,2084,1885
1998,2085,1445
1998,2086,1177
1998,2087,1293
1998,2088,1583
1998,2089,1689
1998,2090,1446
1998,2091,1490
1998,2092,1605
1998,2093,1450
1998,2094,1401
1998,2095,1354
1998,2096,1338
1998,2097,940
1998,2098,1502
1998,2099,1422
1998,2100,1307
1998,2101,2056
1998,2102,1380
1998,2103,1703
1998,2104,1125
1998,2105,1884
1998,2106,1376
1998,2107,1585
1998,2108,1676
1998,2109,2048
1998,2110,1679
1998,2111,1639
1998,2112,1440
